Active Duty Roster Effects,,,,,
You can also find these at:,,http://sto.gamepedia.com/Duty_officer,,,
,,,,,
"Use the ""Code"" in the 'Search' sheet to look for a specific effect. ""Max Active"" is per Specialization, not per Effect.",,,,,
,,,,,
Max Active,Specialization,Code,Area,Effect,Abilities
Tactical,,,,,
3,Conn Officer,43,[SP],Adds Acc/Deff Skill from Fly Her Apart and Hold Together,"Fly Her Apart, Hold Together"
3,Conn Officer,44,[SP],"Chance for +Accuracy, +Perception for Tactical Team",Tactical Team
3,Conn Officer,45,[SP],Chance for Attack Pattern Omega to apply lesser buff to the team,Attack Pattern Omega
3,Conn Officer,46,[SP],Chance to reduce the time to recharge Evasive Maneuvers,Evasive Maneuvers
3,Conn Officer,47,[SP],Recharge time reduced for Tactical Team and Buff,Tactical Team
3,Conn Officer,48,[SP],Recharge time reduced for Tactical Team and Buff | (Ground+Space) Increased damage vs. Elachi,"Tactical Team, vs. Elachi"
3,Conn Officer,49,[SP],Recharges Evasive Maneuvers when Emergency Power to Engines is activated,Emergency Power to Engines
3,Conn Officer,50,[SP],"Reduce recharge time for Attack Patterns Beta, Delta and Omega","Attack Pattern Beta, Attack Pattern Delta, Attack Pattern Omega"
3,Conn Officer,51,[SP],Small power boost after exiting Evasive Maneuvers,Evasive Maneuvers
3,Energy Weapons Officer,81,[GR],"While Draw Fire is active, chance to Heal Self when hit",Draw Fire
3,Energy Weapons Officer,82,[SP],Chance for Beam Overload to cause all attacks against the target to gain 35% Shield Penetration,Beam: Overload
3,Energy Weapons Officer,83,[SP],Chance for stacking Crit Chance buff on firing Energy Weapons,Energy Weapons
3,Energy Weapons Officer,84,[SP],Chance for stacking Crit Severity buff on firing Energy Weapons,Energy Weapons
3,Energy Weapons Officer,85,[SP],Chance of Increased Weapon Damage from Lock Trajectory,Lock Trajectory
3,Energy Weapons Officer,86,[SP],Chance to gain Shield Power when using Energy Weapons,Energy Weapons
3,Energy Weapons Officer,87,[SP],Chance to reduce the time to recharge when using beam special attacks,"Beam Array: Fire at Will, Beam Array: Overload, Target Weapons Subsystems, Target Engines Subsystems, Target Shields Subsystems, Target Auxiliary Subsystems"
3,Energy Weapons Officer,88,[SP],Chance to reduce the time to recharge when using beam special attacks | (Ground+Space) Increased damage vs. Elachi,"Beam Array: Fire at Will, Beam Array: Overload, Target Weapons Subsystems, Target Engines Subsystems, Target Shields Subsystems, Target Auxiliary Subsystems, vs. Elachi"
3,Energy Weapons Officer,89,[SP],Chance to reduce the time to recharge when using cannon special attacks,"Cannon: Rapid Fire, Cannon: Scatter Volley"
3,Energy Weapons Officer,90,[SP],Chance to reduce the time to recharge when using cannon special attacks | (Ground+Space) Increased damage vs. Elachi,"Cannon: Rapid Fire, Cannon: Scatter Volley, vs. Elachi"
3,Energy Weapons Officer,91,[SP],Chance to reduce the time to recharge when using subsystem targeting attacks,"Target Weapons Subsystems, Target Engines Subsystems, Target Shields Subsystems, Target Auxiliary Subsystems"
3,Energy Weapons Officer,92,[SP],Chance to remove currently applied buffs on use of beams and cannons,Energy Weapons
3,Energy Weapons Officer,93,[SP],Increases Singularity Charge Rate,Singularity Core
1,Ground Warfare Specialist,129,[GR],Chance of Outgoing Damage Applied as Healing (Captain Abilities),Captain Abilities
1,Ground Warfare Specialist,130,[GR],Chance of Outgoing Damage Applied as Healing (Kit Abilities),Kit Abilities
1,Ground Warfare Specialist,131,[GR],Increased damage vs. Borg,vs. Borg
1,Ground Warfare Specialist,132,[GR],Increased damage vs. Breen,vs. Breen
1,Ground Warfare Specialist,133,[GR],Increased damage vs. Federation,vs. Federation
1,Ground Warfare Specialist,134,[GR],Increased damage vs. Fekihri,vs. Fekihri
1,Ground Warfare Specialist,135,[GR],Increased damage vs. Gorn,vs. Gorn
1,Ground Warfare Specialist,136,[GR],Increased damage vs. Klingons,vs. Klingons
1,Ground Warfare Specialist,137,[GR],Increased damage vs. Nausicaans,vs. Nausicaans
1,Ground Warfare Specialist,138,[GR],Increased damage vs. Orions,vs. Orions
1,Ground Warfare Specialist,139,[GR],Increased damage vs. Romulans,vs. Romulans
1,Ground Warfare Specialist,140,[GR],Increased damage vs. Tholians,vs. Tholians
1,Ground Warfare Specialist,141,[GR],Increased damage vs. Undine,vs. Undine
1,Ground Warfare Specialist,142,[GR],Increased damage vs. Vaadwaur,vs. Vaadwaur
3,Projectile Weapons Officer,169,[SP],Chance for stacking Crit Chance buff on firing Projectiles,Projectiles
3,Projectile Weapons Officer,170,[SP],Chance for stacking Crit Severity buff on firing Projectiles,Projectiles
3,Projectile Weapons Officer,171,[SP],Chance to gain Shield Power when using Torpedo Weapons,Torpedoes
3,Projectile Weapons Officer,172,[SP],Chance to increase Kinetic Damage from torpedoes,Torpedoes
3,Projectile Weapons Officer,173,[SP],Chance to reduce the time to recharge mines,Mines
3,Projectile Weapons Officer,174,[SP],Chance to reduce the time to recharge mines | (Ground+Space) Increased damage vs. Elachi,"Mines, vs. Elachi"
3,Projectile Weapons Officer,175,[SP],Chance to reduce the time to recharge torpedoes,Torpedoes
3,Projectile Weapons Officer,176,[SP],Chance to reduce the time to recharge torpedoes | (Ground+Space) Increased damage vs. Elachi,"Torpedoes, vs. Elachi"
3,Projectile Weapons Officer,177,[SP],Torpedoes Gain Singularity Charge,"Torpedoes, Singularity Core"
3,Shield Distribution Officer,206,[GR],Chance to cause Weapons Malfunction to enemies that fire on you while using Draw Fire,Draw Fire
3,Shield Distribution Officer,207,[GR],Force Field Dome has a chance to knock nearby enemies prone,Force Field Dome
3,Shield Distribution Officer,208,[SP],Attack Pattern Beta restores hull when firing,Attack Pattern Beta
3,Shield Distribution Officer,209,[SP],Chance to disable nearest Shield Facing with Tachyon Beam,Tachyon Beam
3,Shield Distribution Officer,210,[SP],Chance to restore shields when taking damage while Brace for Impact active,Brace for Impact
3,Shield Distribution Officer,211,[SP],"Improved Ramming Speed while Brace for Impact is active: +Turn, No Self Damage",Brace for Impact
3,Shield Distribution Officer,212,[SP],On each shot: Heal .2% of your hull (Stealth Nerfed),On each Shot
1,Space Warfare Specialist,213,[SP],Chance of Outgoing Damage Applied as Healing (Captain Abilities),Captain Abilities
1,Space Warfare Specialist,214,[SP],Chance of Outgoing Damage Applied as Healing (Engineering Abilities),Engineering Abilities
1,Space Warfare Specialist,215,[SP],Chance of Outgoing Damage Applied as Healing (Science Abilities),Science Abilities
1,Space Warfare Specialist,216,[SP],Chance of Outgoing Damage Applied as Healing (Tactical Abilities),Tactical Abilities
1,Space Warfare Specialist,217,[SP],Increased damage vs. Borg,vs. Borg
1,Space Warfare Specialist,218,[SP],Increased damage vs. Breen,vs. Breen
1,Space Warfare Specialist,219,[SP],Increased damage vs. Federation,vs. Federation
1,Space Warfare Specialist,220,[SP],Increased damage vs. Fekihri,vs. Fekihri
1,Space Warfare Specialist,221,[SP],Increased damage vs. Gorn,vs. Gorn
1,Space Warfare Specialist,222,[SP],Increased damage vs. Klingons,vs. Klingons
1,Space Warfare Specialist,223,[SP],Increased damage vs. Nausicaans,vs. Nausicaans
1,Space Warfare Specialist,224,[SP],Increased damage vs. Orions,vs. Orions
1,Space Warfare Specialist,225,[SP],Increased damage vs. Romulans,vs. Romulans
1,Space Warfare Specialist,226,[SP],Increased damage vs. Tholians,vs. Tholians
1,Space Warfare Specialist,227,[SP],Increased damage vs. Undine,vs. Undine
1,Space Warfare Specialist,228,[SP],Reduces Accuracy of Romulans,vs. Romulans
Security,,,,,
1,Armory Officer,4,[GR],"Chance to beam in an additional Phaser, Disruptor or Plasma Turret",Turret Fabrication
1,Armory Officer,5,[GR],"Chance to beam in an additional Phaser, Disruptor or Plasma Turret | (Ground+Space) Increased damage vs. Elachi","Turret Fabrication, vs. Elachi"
1,Armory Officer,6,[GR],Chance to reduce recharge on Turrets and Drones,"Turret Fabrication, Support Drone Fabrication"
1,Armory Officer,7,[GR],Doubles chance to Expose target,Expose
1,Armory Officer,8,[GR],Ground Operational Asset cooldown reduction,Operational Assets
1,Armory Officer,9,[GR],Increases the duration of the damage boost from Stealth Module,Stealth Module
1,Armory Officer,10,[SP],Chance to set a random second system offline when using Subsystem Targeting,"Target Weapons Subsystems, Target Engines Subsystems, Target Shields Subsystems, Target Auxiliary Subsystems"
1,Armory Officer,11,[SP],Chance to summon a Tethered Quantum Mine when activating Dispersal Patterns,"Dispersal Pattern Alpha, Dispersal Pattern Beta"
3,Assault Squad Officer,12,[GR],Ambush has a chance to re-apply when consumed by outgoing damage,Ambush
3,Assault Squad Officer,13,[GR],Chance for stacking Crit Chance buff on firing Ranged weapons,Ranged Weapons
3,Assault Squad Officer,14,[GR],Chance for stacking Crit Severity buff on firing Ranged weapons,Ranged Weapons
3,Assault Squad Officer,15,[GR],Chance on any melee attack to knock back the target,Melee
3,Assault Squad Officer,16,[GR],Chance to apply a Hold when using Lunge,Lunge
3,Assault Squad Officer,17,[GR],Chance to deal Electric damage when using Sweeping Strikes,Sweeping Strikes
3,Assault Squad Officer,18,[GR],Chance to reduce the recharge time by 2 sec whenever a grenade is thrown,"Photon Grenade, Smoke Grenade, Plasma Grenade, Stun Grenade"
3,Assault Squad Officer,19,[GR],Extra Team Heal and Rez on Rally Cry,Rally Cry
3,Assault Squad Officer,20,[SP],Chance for Boarding Party Shuttle to be armed.,Boarding Party
3,Security Officer,195,[GR],Chance to beam down an additional security escort when using Security Team,Security Team
3,Security Officer,196,[GR],Chance to beam down an additional security escort when using Security Team | (Ground+Space) Increased damage vs. Elachi,"Security Team, vs. Elachi"
3,Security Officer,197,[GR],Chance to Gain Defense Boost When Using Ambush,Ambush
3,Security Officer,198,[GR],Increased melee Crit Chance & Severity,Melee
3,Security Officer,199,[GR],Using Ambush causes your next attack to deal double damage as a DoT,Ambush
3,Security Officer,200,[GR],Your Chroniton Mine Barrier has a chance to Hold targets in place,Chroniton Mine Barrier
3,Security Officer,201,[SP],Extra Threat Generation with Attack Pattern Delta,Attack Pattern Delta
Engineering,,,,,
1 per Type,Consultant,52,[GR],Bonus CXP,Bonus Points
1 per Type,Consultant,53,[GR],Bonus Expertise,Bonus Points
