Achik Trovil,Bolian,Fed,Civilian,Advisor,Very Rare,None,0,"Congenial, Efficient, Peaceful, Teamwork"
Adal,Klingon,KDF,Civilian,Advisor,Very Rare,None,0,"Aggressive, Honorable, Resilient"
Adarrah,Saurian,Fed,Civilian,Advisor,Very Rare,None,,"Cold Blooded, Cunning, Resilient"
Albezor,Lethean,KDF,Civilian,Advisor,Very Rare,None,,"Efficient, Stubborn, Telepathic"
Ani,Dosi,KDF,Civilian,Advisor,Very Rare,None,0,"Cunning, Emotional, Unscrupulous"
Arpix,Ferengi,Fed,Civilian,Advisor,Very Rare,None,,"Cunning, Unscrupulous"
Auslir,Trill,Fed,Civilian,Advisor,Very Rare,None,,"Emotional, Teamwork"
Ayerfisi,Deltan,Fed,Civilian,Advisor,Very Rare,None,,"Seductive, Tactful, Telepathic"
B'Opor,Klingon,KDF,Civilian,Advisor,Very Rare,None,0,"Aggressive, Resilient, Unscrupulous"
Barom,Lethean,KDF,Civilian,Advisor,Very Rare,None,,"Telepathic, Unruly"
Bazol,Saurian,Fed,Civilian,Advisor,Very Rare,None,,"Cold Blooded, Resilient, Teamwork"
Benny Miguel Melo,Human,Fed,Civilian,Advisor,Very Rare,None,0,"Founders of the Federation, Honorable, Teamwork"
Bigia,Saurian,Fed,Civilian,Advisor,Very Rare,None,,"Cold Blooded, Resilient, Tactful"
Bim Zolat,Bolian,Fed,Civilian,Advisor,Very Rare,None,0,"Congenial, Emotional, Resilient, Teamwork"
Bolgid,Tellarite,Fed,Civilian,Advisor,Very Rare,None,0,"Founders of the Federation, Honorable, Stubborn"
Borh,Nausicaan,KDF,Civilian,Advisor,Very Rare,None,0,"Aggressive, Stubborn, Unruly, Unscrupulous"
Bosa,Tellarite,Fed,Civilian,Advisor,Very Rare,None,0,"Founders of the Federation, Stubborn, Tactful"
Brigid Nikita Azure,Human,Fed,Civilian,Advisor,Very Rare,None,0,"Founders of the Federation, Honorable, Teamwork"
C'Rikko,Caitian,Fed,Civilian,Advisor,Very Rare,None,,"Aggressive, Unruly"
C'Rowil,Caitian,Fed,Civilian,Advisor,Very Rare,None,,Aggressive
C'Ruw,Ferasan,KDF,Civilian,Advisor,Very Rare,None,0,"Aggressive, Resolve, Unruly"
Carol Cary Wienhoff,Human,Fed,Civilian,Advisor,Very Rare,None,0,"Congenial, Founders of the Federation, Unscrupulous"
Ceeru,Saurian,Fed,Civilian,Advisor,Very Rare,None,,"Cold Blooded, Efficient, Resilient"
Celijo Settra,Xindi-Arboreal,Fed,Civilian,Advisor,Ultra Rare,None,3,"Congenial, Cunning, Resolve, Teamwork, Unscrupulous"
Checha,Deltan,Fed,Civilian,Advisor,Very Rare,None,,"Seductive, Tactful, Telepathic"
Chexx Bloxx,Bolian,Fed,Civilian,Advisor,Very Rare,None,,"Congenial, Stubborn"
Chexx Ohslat,Bolian,Fed,Civilian,Advisor,Very Rare,None,,"Congenial, Emotional"
Chiggu,Saurian,Fed,Civilian,Advisor,Very Rare,None,,"Cold Blooded, Resilient, Stubborn"
Chott Itezlo,Bolian,Fed,Civilian,Advisor,Very Rare,None,0,"Congenial, Stubborn"
Ckarum,Benzite,Fed,Civilian,Advisor,Very Rare,None,,"Efficient, Honorable"
Ckergep,Benzite,Fed,Civilian,Advisor,Very Rare,None,,"Efficient, Resilient"
Cynirth,Rigelian,Fed,Civilian,Advisor,Very Rare,None,0,"Spiritual, Telepathic"
Darleen Shawn Bron,Human,Fed,Civilian,Advisor,Very Rare,None,0,"Congenial, Founders of the Federation, Unscrupulous"
Dasab Ishrim,Aenar,Fed,Civilian,Advisor,Very Rare,None,,"Honorable, Peaceful, Telepathic"
Datop,Benzite,Fed,Civilian,Advisor,Very Rare,None,,"Efficient, Stubborn"
Debby Eustolia Corcuera,Human,Fed,Civilian,Advisor,Very Rare,None,0,"Founders of the Federation, Tactful, Teamwork"
Dejar Ghenro,Cardassian,Fed,Civilian,Advisor,Very Rare,None,0,"Eidetic Memory, Resolve, Teamwork"
Dejar Otek,Cardassian,KDF,Civilian,Advisor,Very Rare,None,0,"Eidetic Memory, Resolve, Teamwork"
Dejar Tulen,Cardassian,Fed,Civilian,Advisor,Very Rare,None,0,"Congenial, Eidetic Memory, Resolve"
Dila Ghemor,Cardassian,KDF,Civilian,Advisor,Very Rare,None,0,"Emotional, Resolve, Unscrupulous"
Dilab D'hiph,Aenar,Fed,Civilian,Advisor,Very Rare,None,,"Peaceful, Tactful, Telepathic"
Din'bem Ohani,Andorian,Fed,Civilian,Advisor,Very Rare,None,0,"Aggressive, Founders of the Federation, Honorable, Tactful"
Dos,Tellarite,Fed,Civilian,Advisor,Very Rare,None,0,"Emotional, Founders of the Federation, Stubborn"
Drannfa,Wadi,KDF,Civilian,Advisor,Very Rare,None,2,"Congenial, Logical, Resolve, Tactful"
Dulak Brok,Cardassian,Fed,Civilian,Advisor,Very Rare,None,0,"Eidetic Memory, Emotional, Unscrupulous"
Dunim,Lethean,KDF,Civilian,Advisor,Very Rare,None,0,"Emotional, Stubborn, Telepathic"
Durak,Ferengi,Fed,Civilian,Advisor,Very Rare,None,,"Cunning, Stubborn"
Dyhla G'jhyph,Aenar,Fed,Civilian,Advisor,Very Rare,None,,"Peaceful, Tactful, Telepathic"
Edep Yphleb,Andorian,Fed,Civilian,Advisor,Very Rare,None,0,"Aggressive, Emotional, Founders of the Federation"
Elizabeth Mohr,Human,Fed,Civilian,Advisor,Very Rare,None,0,"Resolve, Stubborn, Telekinesis, Telepathic"
Elottra Azrad,Bolian,Fed,Civilian,Advisor,Very Rare,None,,"Congenial, Honorable"
Emak Zevok,Cardassian,Fed,Civilian,Advisor,Very Rare,None,0,"Eidetic Memory, Emotional, Resolve"
Engaraa,Saurian,Fed,Civilian,Advisor,Very Rare,None,,"Cold Blooded, Resilient, Stubborn"
Erdra Gizirbli,Betazoid,Fed,Civilian,Advisor,Very Rare,None,,Telepathic
Etezedd,Orion,KDF,Civilian,Advisor,Very Rare,None,0,"Seductive, Tactful, Unscrupulous"
Eulalia Aleen Hysell,Human,Fed,Civilian,Advisor,Very Rare,None,0,"Founders of the Federation, Peaceful, Resolve, Teamwork"
F'us,Caitian,Fed,Civilian,Advisor,Very Rare,None,,"Aggressive, Unruly"
Fadur,Wadi,KDF,Civilian,Advisor,Very Rare,None,0,"Congenial, Emotional, Tactful"
Fidu,Lethean,KDF,Civilian,Advisor,Very Rare,None,,"Stubborn, Telepathic"
Fotachoh Zali,Bolian,Fed,Civilian,Advisor,Very Rare,None,0,Congenial
Foway,Rigelian,Fed,Civilian,Advisor,Very Rare,None,,"Spiritual, Tactful"
Furetta,Trill,Fed,Civilian,Advisor,Very Rare,None,0,"Congenial, Emotional, Tactful, Teamwork"
Fuzait,Benzite,Fed,Civilian,Advisor,Very Rare,None,0,"Efficient, Resilient"
Gal,Orion,KDF,Civilian,Advisor,Very Rare,None,,"Cunning, Tactful, Unscrupulous"
Gavin Russell Zanayed,Human,Fed,Civilian,Advisor,Very Rare,None,0,"Founders of the Federation, Peaceful, Resolve, Teamwork"
Gaztla Juzel,Betazoid,Fed,Civilian,Advisor,Very Rare,None,,"Teamwork, Telepathic"
Ged,Ferengi,Fed,Civilian,Advisor,Very Rare,None,,"Cunning, Unscrupulous"
Gilgrun,Vorta,Fed,Civilian,Advisor,Very Rare,None,,"Cunning, Peaceful, Tactful, Telekinesis"
Go,Gorn,KDF,Civilian,Advisor,Very Rare,None,0,"Cold Blooded, Honorable, Resilient"
Gogad,Ferengi,Fed,Civilian,Advisor,Very Rare,None,0,"Cunning, Unscrupulous"
Grecrot,Ferengi,Fed,Civilian,Advisor,Very Rare,None,0,"Cunning, Unscrupulous"
Gshoh,Gorn,KDF,Civilian,Advisor,Very Rare,None,,"Cold Blooded, Resilient, Unscrupulous"
H'Lorri,Ferasan,KDF,Civilian,Advisor,Very Rare,None,0,"Emotional, Resolve, Telepathic"
